epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8219,5.95775,6.84601,4.14977,0,0,0,0,6.47567,6.14008,4.24472,0.00328283,0.00328283,0.00328283
2,27.6836,3.45722,4.26306,2.54406,0.06873,0.03336,0.01407,0.00534,3.99581,4.7062,2.95194,0.00657249,0.00657249,0.00657249
3,40.5749,2.70028,3.0362,1.91234,0.12611,0.25756,0.103,0.02693,2.86647,6.83948,2.31359,0.00981816,0.00981816,0.00981816
4,52.2376,2.43594,2.62054,1.66006,0.19271,0.32641,0.16982,0.05666,2.43711,3.74121,1.82995,0.009802,0.009802,0.009802
5,65.092,2.22975,2.35207,1.51633,0.26261,0.38334,0.25299,0.12199,1.96646,3.03736,1.497,0.009736,0.009736,0.009736
6,77.9181,2.06517,2.08208,1.43723,0.34839,0.57369,0.42058,0.20538,1.79713,2.01037,1.39997,0.00967,0.00967,0.00967
7,91.0055,1.95048,1.85173,1.35403,0.52943,0.60949,0.5789,0.29061,1.73744,1.81184,1.36088,0.009604,0.009604,0.009604
8,104.1,1.87776,1.73365,1.3248,0.49823,0.51264,0.48001,0.19007,2.04321,1.88996,1.49637,0.009538,0.009538,0.009538
9,117.014,1.79146,1.58844,1.29776,0.59638,0.62016,0.62989,0.34325,1.55997,1.57075,1.27625,0.009472,0.009472,0.009472
10,129.705,1.74524,1.49695,1.26352,0.73362,0.63547,0.73291,0.41532,1.55616,1.40582,1.2785,0.009406,0.009406,0.009406
11,142.214,1.66803,1.45298,1.23188,0.68756,0.6223,0.70347,0.35322,1.70571,1.51721,1.32161,0.00934,0.00934,0.00934
12,154.872,1.66763,1.35879,1.22338,0.72469,0.67412,0.75014,0.41007,1.58324,1.33173,1.26665,0.009274,0.009274,0.009274
13,168.756,1.62049,1.31471,1.21676,0.81192,0.71832,0.81501,0.4299,1.59633,1.16786,1.28579,0.009208,0.009208,0.009208
14,182.781,1.57183,1.22769,1.1789,0.78347,0.67272,0.7662,0.37812,1.70758,1.32967,1.32591,0.009142,0.009142,0.009142
15,195.452,1.5495,1.18413,1.18151,0.81644,0.72309,0.81951,0.41397,1.57257,1.15073,1.25576,0.009076,0.009076,0.009076
16,208.317,1.52875,1.16287,1.16564,0.75194,0.77073,0.83539,0.38787,1.8504,1.27035,1.40515,0.00901,0.00901,0.00901
17,221.014,1.4968,1.14634,1.1639,0.83485,0.71681,0.81282,0.37015,1.7794,1.1791,1.31226,0.008944,0.008944,0.008944
18,233.772,1.46913,1.10942,1.14715,0.8435,0.77768,0.84615,0.43065,1.61578,1.06236,1.26504,0.008878,0.008878,0.008878
19,246.336,1.4808,1.07627,1.14091,0.80502,0.75101,0.85543,0.50209,1.37128,1.06468,1.16495,0.008812,0.008812,0.008812
20,258.366,1.44765,1.05306,1.1379,0.85424,0.81101,0.89747,0.56555,1.26205,0.93041,1.12688,0.008746,0.008746,0.008746
21,270.472,1.44428,1.03844,1.1307,0.83411,0.75534,0.83925,0.37213,1.84806,1.10538,1.34137,0.00868,0.00868,0.00868
22,283.028,1.42329,0.99622,1.11862,0.84508,0.73898,0.83466,0.37138,1.85024,1.09037,1.33082,0.008614,0.008614,0.008614
23,295.762,1.36532,0.96677,1.10235,0.88513,0.79004,0.89606,0.48015,1.55404,0.94749,1.21805,0.008548,0.008548,0.008548
