epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.6962,5.84551,14.532,3.81328,0,0,0,0,3.6251,22.9847,2.1839,0.00330846,0.00330846,0.00330846
2,123.777,3.98458,5.51379,2.40879,0,0.00073,0,0,3.96733,28.4853,2.53257,0.00662864,0.00662864,0.00662864
3,181.342,2.96636,3.75997,1.77275,0.34007,0.25791,0.15503,0.05264,2.4002,244.241,1.52485,0.00993562,0.00993562,0.00993562
4,239.171,2.21981,2.08149,1.38707,0.46972,0.59704,0.5281,0.22175,1.78054,165.047,1.18864,0.0099406,0.0099406,0.0099406
5,295.038,2.02168,1.62284,1.29526,0.60508,0.72897,0.6379,0.27695,1.69859,87.2532,1.14561,0.0099208,0.0099208,0.0099208
6,351.776,1.91677,1.42344,1.23948,0.62811,0.85663,0.69476,0.3036,1.63669,65.0524,1.12041,0.009901,0.009901,0.009901
7,408.263,1.88435,1.36054,1.22002,0.69351,0.85231,0.73263,0.3574,1.52426,59.7775,1.06467,0.0098812,0.0098812,0.0098812
8,463.357,1.84057,1.27778,1.20495,0.67067,0.87051,0.74065,0.36117,1.5336,86.5157,1.05986,0.0098614,0.0098614,0.0098614
9,518.707,1.8212,1.22875,1.18718,0.71006,0.8772,0.76259,0.37286,1.53796,63.2471,1.06221,0.0098416,0.0098416,0.0098416
10,573.852,1.79181,1.19714,1.17908,0.70046,0.85811,0.75063,0.37646,1.4793,76.532,1.0365,0.0098218,0.0098218,0.0098218
11,629.668,1.77541,1.1789,1.1764,0.72073,0.92006,0.7728,0.39798,1.45648,83.8333,1.03146,0.009802,0.009802,0.009802
12,685.423,1.75278,1.14934,1.1606,0.70853,0.91151,0.78121,0.40671,1.45364,58.724,1.02864,0.0097822,0.0097822,0.0097822
13,740.587,1.7531,1.12102,1.16177,0.73846,0.88479,0.79096,0.40569,1.4627,51.8591,1.02924,0.0097624,0.0097624,0.0097624
14,795.758,1.73049,1.11373,1.15253,0.72535,0.92131,0.79023,0.41129,1.45357,67.4788,1.0244,0.0097426,0.0097426,0.0097426
15,850.893,1.7323,1.08897,1.15377,0.71242,0.92162,0.80414,0.41677,1.46827,73.6341,1.02762,0.0097228,0.0097228,0.0097228
16,907.168,1.71132,1.07613,1.14389,0.73399,0.90237,0.82053,0.41508,1.46355,55.5699,1.01945,0.009703,0.009703,0.009703
17,962.467,1.69835,1.06329,1.13719,0.75777,0.91059,0.8458,0.43653,1.44749,55.4021,1.01582,0.0096832,0.0096832,0.0096832
18,1018.67,1.6952,1.03004,1.13918,0.75725,0.93042,0.88233,0.46768,1.43128,53.4689,1.01192,0.0096634,0.0096634,0.0096634
19,1074.5,1.68857,1.02033,1.1388,0.79985,0.89167,0.89775,0.46566,1.44414,43.3848,1.01705,0.0096436,0.0096436,0.0096436
20,1129.66,1.68235,1.00094,1.12908,0.829,0.90776,0.93039,0.48281,1.42337,28.1436,1.00867,0.0096238,0.0096238,0.0096238
21,1185.76,1.67638,0.96831,1.1319,0.90821,0.90932,0.95229,0.50464,1.43276,11.1739,1.01069,0.009604,0.009604,0.009604
22,1240.76,1.66535,0.92449,1.12636,0.92249,0.92892,0.96068,0.51428,1.41331,10.2956,0.9977,0.0095842,0.0095842,0.0095842
23,1302.03,1.66313,0.90503,1.12376,0.90502,0.92136,0.95243,0.50532,1.40735,20.8798,1.0007,0.0095644,0.0095644,0.0095644
24,1357.98,1.65735,0.88683,1.12265,0.93573,0.88251,0.94603,0.51317,1.40848,2.12327,0.99771,0.0095446,0.0095446,0.0095446
25,1413.55,1.65662,0.87972,1.11347,0.92294,0.93951,0.96186,0.50947,1.40809,18.1934,0.99936,0.0095248,0.0095248,0.0095248
26,1470.95,1.63989,0.85779,1.11997,0.93668,0.86671,0.94862,0.51698,1.3865,2.37939,0.99132,0.009505,0.009505,0.009505
27,1526.37,1.63962,0.84897,1.12151,0.95906,0.94321,0.96657,0.52997,1.38251,7.85096,0.99299,0.0094852,0.0094852,0.0094852
