epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0111,3.22815,54.4529,1.96218,0,0,0,0,1.71399,29.092,1.00933,0.00330769,0.00330769,0.00330769
2,82.3664,2.64449,16.19,1.54205,0,0,0,0,3.49773,2.91294,1.69188,0.00661911,0.00661911,0.00661911
3,122.987,4.64827,5.29381,2.27597,0,0,0,0,0.23191,0.28846,0.07845,0.00990853,0.00990853,0.00990853
4,163.228,4.258,4.90961,1.78904,0.00153,0.00323,0.00099,0.00028,3.98918,4.22714,1.56222,0.009901,0.009901,0.009901
5,203.988,4.12425,4.68753,1.63463,0.84859,0.01398,0.00703,0.00185,3.84959,4.24228,1.54634,0.009868,0.009868,0.009868
6,244.087,4.01143,4.34157,1.56433,0.93299,0.06882,0.07043,0.01498,4.00544,4.67954,1.51052,0.009835,0.009835,0.009835
7,284.959,3.74174,3.95484,1.43774,0.95602,0.117,0.13096,0.04311,3.50066,3.62759,1.38936,0.009802,0.009802,0.009802
8,325.877,3.48719,3.55821,1.37531,0.94413,0.12793,0.13889,0.056,3.18984,3.20422,1.29943,0.009769,0.009769,0.009769
9,366.347,3.17627,3.08265,1.29245,0.74136,0.28888,0.25318,0.10697,2.87888,2.74155,1.21543,0.009736,0.009736,0.009736
10,407.478,2.99856,2.83341,1.25366,0.40576,0.35533,0.3013,0.11755,2.7989,2.41718,1.20895,0.009703,0.009703,0.009703
11,448.175,2.79637,2.42381,1.17669,0.40394,0.44999,0.37456,0.14073,2.60728,2.15313,1.13166,0.00967,0.00967,0.00967
12,488.872,2.61983,2.16586,1.13538,0.55858,0.50215,0.50056,0.20906,2.34332,1.77623,1.06989,0.009637,0.009637,0.009637
13,529.151,2.50554,1.99481,1.11221,0.60127,0.57486,0.57745,0.25389,2.11994,1.55912,1.02731,0.009604,0.009604,0.009604
14,570.09,2.32489,1.75548,1.067,0.73469,0.6354,0.66591,0.30104,2.04337,1.41847,1.01185,0.009571,0.009571,0.009571
15,610.603,2.22835,1.6241,1.04945,0.73773,0.69123,0.73499,0.32697,2.07834,1.37841,1.00013,0.009538,0.009538,0.009538
16,650.205,2.15165,1.52996,1.03635,0.79946,0.6591,0.75163,0.35412,1.94079,1.30965,0.98278,0.009505,0.009505,0.009505
17,688.384,2.13695,1.48291,1.0304,0.82256,0.72244,0.77937,0.37124,1.90742,1.19526,0.97672,0.009472,0.009472,0.009472
18,727.753,2.06696,1.38064,1.01972,0.80004,0.76131,0.81174,0.39968,1.86471,1.10807,0.96675,0.009439,0.009439,0.009439
19,766.915,2.00627,1.29445,1.00473,0.88178,0.73091,0.82156,0.40349,1.83944,1.10255,0.96289,0.009406,0.009406,0.009406
20,805.933,1.99631,1.27369,1.00123,0.8507,0.77891,0.84356,0.40293,1.87416,1.06805,0.95929,0.009373,0.009373,0.009373
21,845.101,1.96554,1.23348,1.00148,0.86943,0.77045,0.84138,0.38628,1.82895,1.06235,0.95341,0.00934,0.00934,0.00934
22,883.817,1.90178,1.17467,0.98175,0.87917,0.82013,0.86463,0.43398,1.75153,0.97518,0.93711,0.009307,0.009307,0.009307
23,921.548,1.90484,1.15857,0.97187,0.91276,0.81069,0.86491,0.40317,1.80135,1.00293,0.9487,0.009274,0.009274,0.009274
24,958.783,1.85515,1.08976,0.9604,0.93065,0.82405,0.88979,0.45667,1.69484,0.91978,0.92694,0.009241,0.009241,0.009241
25,996.151,1.86197,1.09271,0.97658,0.93514,0.81845,0.88598,0.45848,1.72351,0.91962,0.93321,0.009208,0.009208,0.009208
26,1033.36,1.83262,1.06087,0.97055,0.93086,0.82096,0.89039,0.44645,1.70408,0.91445,0.93328,0.009175,0.009175,0.009175
27,1070.5,1.82343,1.06485,0.96409,0.91557,0.82582,0.89071,0.43726,1.73862,0.96753,0.93329,0.009142,0.009142,0.009142
28,1107.24,1.7987,1.02711,0.9674,0.90109,0.84443,0.90297,0.45318,1.68756,0.90615,0.92155,0.009109,0.009109,0.009109
29,1143.92,1.76902,0.9947,0.95271,0.89855,0.8475,0.89895,0.46354,1.69291,0.89314,0.92555,0.009076,0.009076,0.009076
30,1180.99,1.77152,1.00624,0.95105,0.94416,0.85562,0.91285,0.49726,1.60411,0.87385,0.90882,0.009043,0.009043,0.009043
31,1218.67,1.74906,0.98331,0.95013,0.89794,0.84593,0.90883,0.48256,1.65726,0.87849,0.91636,0.00901,0.00901,0.00901
32,1254.98,1.73994,0.95539,0.94824,0.94183,0.8618,0.91767,0.49403,1.6116,0.83905,0.91105,0.008977,0.008977,0.008977
33,1292.1,1.70968,0.93792,0.94567,0.92317,0.86617,0.90557,0.47008,1.68618,0.86792,0.91787,0.008944,0.008944,0.008944
34,1328.75,1.72384,0.93971,0.94119,0.92068,0.8916,0.93122,0.48934,1.62807,0.84874,0.90645,0.008911,0.008911,0.008911
35,1364.28,1.69071,0.90461,0.94131,0.948,0.86597,0.92422,0.5007,1.59936,0.80914,0.90545,0.008878,0.008878,0.008878
36,1401.42,1.69269,0.93576,0.93661,0.94228,0.88487,0.93045,0.48884,1.63443,0.8251,0.91009,0.008845,0.008845,0.008845
37,1437.26,1.67895,0.90796,0.94254,0.94786,0.8726,0.92763,0.50299,1.601,0.80787,0.90351,0.008812,0.008812,0.008812
38,1474.71,1.67817,0.90426,0.93613,0.93387,0.89448,0.92943,0.49385,1.62075,0.80876,0.90908,0.008779,0.008779,0.008779
39,1511.55,1.66234,0.87421,0.93032,0.94631,0.89635,0.93765,0.5091,1.58417,0.78826,0.90255,0.008746,0.008746,0.008746
40,1548.26,1.66375,0.9036,0.93807,0.94249,0.87368,0.92157,0.46939,1.69739,0.84989,0.91586,0.008713,0.008713,0.008713
41,1585.4,1.61031,0.83788,0.9372,0.95348,0.89834,0.93612,0.51678,1.56206,0.76973,0.89866,0.00868,0.00868,0.00868
42,1622.72,1.64766,0.88887,0.92813,0.93273,0.89524,0.93814,0.5132,1.57852,0.76512,0.89603,0.008647,0.008647,0.008647
43,1658.37,1.63076,0.85745,0.92998,0.94426,0.89077,0.93488,0.52151,1.55665,0.76044,0.89393,0.008614,0.008614,0.008614
44,1695.5,1.59698,0.84456,0.92217,0.96185,0.90024,0.94682,0.52947,1.53874,0.73754,0.89035,0.008581,0.008581,0.008581
45,1732.65,1.62113,0.84108,0.92449,0.9671,0.88351,0.93611,0.52005,1.5355,0.7771,0.89094,0.008548,0.008548,0.008548
46,1769.61,1.58776,0.82787,0.91802,0.96345,0.89498,0.94361,0.5238,1.56391,0.75574,0.89607,0.008515,0.008515,0.008515
47,1806.84,1.57239,0.80975,0.91436,0.97104,0.89678,0.95139,0.52225,1.53815,0.74338,0.89373,0.008482,0.008482,0.008482
48,1842.95,1.58874,0.7983,0.91496,0.95681,0.89064,0.9535,0.52863,1.557,0.75253,0.89658,0.008449,0.008449,0.008449
49,1880.06,1.58839,0.82637,0.92644,0.94745,0.90689,0.94353,0.52726,1.53163,0.74523,0.89198,0.008416,0.008416,0.008416
50,1915.82,1.57912,0.82005,0.91971,0.9425,0.91438,0.94316,0.51985,1.55404,0.75776,0.89724,0.008383,0.008383,0.008383
51,1952.94,1.56133,0.7981,0.91689,0.94567,0.90531,0.9461,0.52513,1.55225,0.72184,0.89602,0.00835,0.00835,0.00835
52,1990.06,1.55753,0.79915,0.91323,0.96123,0.89395,0.94139,0.53287,1.5318,0.71676,0.89138,0.008317,0.008317,0.008317
53,2027.31,1.56596,0.81753,0.92322,0.9543,0.90272,0.94699,0.51994,1.54136,0.74774,0.89225,0.008284,0.008284,0.008284
54,2064.77,1.57091,0.81627,0.92156,0.96212,0.89434,0.93996,0.52599,1.52871,0.72992,0.89026,0.008251,0.008251,0.008251
55,2101.98,1.51723,0.76251,0.91166,0.95521,0.91511,0.9485,0.54063,1.52904,0.70885,0.89087,0.008218,0.008218,0.008218
56,2140.55,1.55909,0.79884,0.90554,0.95603,0.91325,0.9464,0.5243,1.54177,0.73331,0.89047,0.008185,0.008185,0.008185
57,2178.84,1.54333,0.77792,0.9176,0.95969,0.89709,0.94332,0.51955,1.52642,0.72492,0.88547,0.008152,0.008152,0.008152
58,2216.4,1.53061,0.77501,0.90835,0.95986,0.91515,0.95418,0.542,1.51522,0.71554,0.88538,0.008119,0.008119,0.008119
59,2253.65,1.51027,0.7463,0.89969,0.94957,0.924,0.95241,0.53501,1.51503,0.72122,0.8831,0.008086,0.008086,0.008086
60,2290.74,1.52268,0.76355,0.90759,0.97083,0.90511,0.95154,0.54579,1.4847,0.70333,0.88246,0.008053,0.008053,0.008053
61,2328.29,1.49195,0.74996,0.90604,0.94539,0.92263,0.95222,0.5375,1.4993,0.69977,0.88713,0.00802,0.00802,0.00802
62,2365.55,1.49585,0.76124,0.91083,0.96338,0.93246,0.9621,0.53606,1.53014,0.6838,0.88658,0.007987,0.007987,0.007987
63,2402.51,1.48992,0.75643,0.9017,0.96596,0.91893,0.9507,0.53743,1.50431,0.701,0.8851,0.007954,0.007954,0.007954
64,2440.02,1.46694,0.72411,0.89737,0.9696,0.91752,0.9578,0.54299,1.48539,0.68059,0.87909,0.007921,0.007921,0.007921
65,2477.36,1.47675,0.71176,0.89938,0.96586,0.92091,0.9557,0.54764,1.4909,0.70275,0.88434,0.007888,0.007888,0.007888
66,2515,1.46073,0.72485,0.8936,0.97022,0.9203,0.95685,0.54488,1.47869,0.6807,0.87903,0.007855,0.007855,0.007855
67,2551.85,1.45646,0.70398,0.90021,0.97144,0.92589,0.96267,0.54664,1.5132,0.6915,0.88068,0.007822,0.007822,0.007822
68,2588.66,1.47264,0.71945,0.90338,0.95588,0.93599,0.95541,0.55348,1.48055,0.66753,0.8828,0.007789,0.007789,0.007789
69,2626.05,1.43903,0.70246,0.89186,0.95023,0.93866,0.95781,0.55185,1.47026,0.66368,0.8771,0.007756,0.007756,0.007756
70,2663.05,1.45521,0.70083,0.88794,0.97134,0.91187,0.95171,0.54959,1.45983,0.67635,0.87552,0.007723,0.007723,0.007723
71,2699.75,1.44903,0.71256,0.89291,0.96382,0.93036,0.96408,0.56188,1.44843,0.6784,0.8753,0.00769,0.00769,0.00769
72,2736.94,1.45005,0.72233,0.89715,0.9649,0.93051,0.95956,0.55726,1.4355,0.6696,0.87642,0.007657,0.007657,0.007657
73,2773.83,1.41297,0.6907,0.88863,0.97045,0.93753,0.9565,0.56189,1.43174,0.67294,0.87292,0.007624,0.007624,0.007624
74,2810.78,1.4275,0.70137,0.89013,0.96979,0.93222,0.96001,0.55464,1.46125,0.65296,0.87505,0.007591,0.007591,0.007591
75,2847.85,1.43507,0.71101,0.88878,0.95808,0.94141,0.9612,0.55568,1.4489,0.6682,0.875,0.007558,0.007558,0.007558
76,2885.34,1.39513,0.68037,0.88504,0.97135,0.93634,0.96124,0.54846,1.46282,0.65677,0.8759,0.007525,0.007525,0.007525
77,2922.58,1.40604,0.69206,0.89084,0.96461,0.92842,0.95625,0.5534,1.48715,0.67508,0.87633,0.007492,0.007492,0.007492
78,2959.36,1.42912,0.70742,0.88807,0.96313,0.93579,0.95826,0.56372,1.43175,0.65226,0.87275,0.007459,0.007459,0.007459
79,2996.69,1.39077,0.68316,0.88201,0.95201,0.92454,0.95329,0.55646,1.43931,0.65834,0.87173,0.007426,0.007426,0.007426
80,3033.82,1.39914,0.67112,0.88974,0.96847,0.92747,0.96442,0.56384,1.41241,0.65144,0.86884,0.007393,0.007393,0.007393
81,3071.13,1.38837,0.6899,0.88733,0.96951,0.93191,0.96377,0.55235,1.4417,0.6503,0.87288,0.00736,0.00736,0.00736
82,3108.41,1.40665,0.67784,0.88602,0.97228,0.93488,0.96891,0.5679,1.41009,0.64191,0.86947,0.007327,0.007327,0.007327
83,3145.72,1.37798,0.66634,0.87636,0.97128,0.91915,0.95827,0.55984,1.42193,0.65936,0.87087,0.007294,0.007294,0.007294
84,3182.52,1.36765,0.66189,0.88043,0.96497,0.9271,0.95827,0.54895,1.48265,0.66975,0.88148,0.007261,0.007261,0.007261
85,3219.4,1.37415,0.66434,0.88792,0.97193,0.93065,0.96406,0.57171,1.42646,0.65129,0.86997,0.007228,0.007228,0.007228
86,3256.67,1.38282,0.66836,0.87596,0.97338,0.93162,0.96204,0.56221,1.4397,0.64297,0.87256,0.007195,0.007195,0.007195
87,3294.26,1.35537,0.64721,0.88433,0.96719,0.93519,0.96949,0.56466,1.44612,0.63101,0.87269,0.007162,0.007162,0.007162
88,3332.32,1.35118,0.65062,0.87853,0.96692,0.93794,0.96186,0.56678,1.40116,0.63041,0.86678,0.007129,0.007129,0.007129
89,3369.53,1.3535,0.65018,0.87988,0.96485,0.94173,0.96416,0.57259,1.4181,0.6406,0.86777,0.007096,0.007096,0.007096
90,3407.14,1.39355,0.67666,0.87574,0.96235,0.9381,0.96056,0.57389,1.42018,0.63619,0.8699,0.007063,0.007063,0.007063
91,3444.33,1.35093,0.65284,0.87395,0.97249,0.9226,0.9625,0.58296,1.38508,0.63038,0.86379,0.00703,0.00703,0.00703
92,3480.7,1.32918,0.63064,0.87876,0.96926,0.9399,0.9642,0.58038,1.41072,0.62776,0.86767,0.006997,0.006997,0.006997
93,3517.8,1.33103,0.62954,0.87748,0.97509,0.92768,0.96222,0.57683,1.41077,0.63653,0.8675,0.006964,0.006964,0.006964
94,3556.28,1.32018,0.6383,0.87252,0.96542,0.94243,0.96287,0.57328,1.39966,0.62473,0.86601,0.006931,0.006931,0.006931
95,3594.82,1.30667,0.62857,0.86882,0.9662,0.94829,0.96414,0.57994,1.39742,0.60986,0.86646,0.006898,0.006898,0.006898
96,3632.13,1.31089,0.63136,0.87337,0.96524,0.9367,0.96489,0.58416,1.38031,0.62777,0.8606,0.006865,0.006865,0.006865
97,3669.15,1.27316,0.60667,0.86472,0.97408,0.93627,0.96753,0.57995,1.42671,0.63147,0.86789,0.006832,0.006832,0.006832
98,3707.36,1.28979,0.61833,0.86664,0.97105,0.93121,0.9683,0.5876,1.38882,0.61479,0.86516,0.006799,0.006799,0.006799
99,3745.56,1.30605,0.6156,0.86893,0.97131,0.9443,0.97095,0.58659,1.38044,0.59628,0.86373,0.006766,0.006766,0.006766
100,3783.37,1.28788,0.61087,0.86586,0.95765,0.93129,0.96684,0.58092,1.38504,0.63234,0.86299,0.006733,0.006733,0.006733
101,3820.61,1.30102,0.6359,0.86752,0.95819,0.94245,0.96727,0.57672,1.38589,0.60761,0.86122,0.0067,0.0067,0.0067
102,3857.59,1.28828,0.61384,0.86569,0.96731,0.93793,0.96436,0.58969,1.36982,0.60292,0.86049,0.006667,0.006667,0.006667
103,3894.96,1.28705,0.61528,0.86482,0.96659,0.94236,0.96871,0.58322,1.39153,0.60981,0.86452,0.006634,0.006634,0.006634
104,3932.03,1.30175,0.64847,0.8711,0.96982,0.94727,0.97274,0.58693,1.38075,0.60303,0.86485,0.006601,0.006601,0.006601
105,3968.89,1.29549,0.63973,0.87048,0.96197,0.94534,0.97335,0.58793,1.38068,0.60212,0.86511,0.006568,0.006568,0.006568
106,4005.86,1.27254,0.60178,0.86608,0.93016,0.94067,0.96526,0.58416,1.36908,0.62309,0.86229,0.006535,0.006535,0.006535
107,4043.13,1.25667,0.59672,0.86467,0.98239,0.93747,0.9705,0.59479,1.34461,0.59615,0.85761,0.006502,0.006502,0.006502
108,4080.44,1.26493,0.61811,0.8626,0.95895,0.94155,0.96886,0.59597,1.35537,0.59804,0.86049,0.006469,0.006469,0.006469
109,4119.06,1.27641,0.62399,0.86052,0.97094,0.93517,0.96999,0.58956,1.36753,0.60051,0.85983,0.006436,0.006436,0.006436
110,4155.61,1.27161,0.6029,0.86631,0.97101,0.93375,0.96678,0.5874,1.38576,0.60509,0.86184,0.006403,0.006403,0.006403
111,4192.64,1.25158,0.60041,0.86133,0.96895,0.94075,0.96632,0.59273,1.37627,0.59395,0.86231,0.00637,0.00637,0.00637
112,4229.55,1.25376,0.60844,0.86661,0.97357,0.93318,0.97023,0.59937,1.39655,0.59801,0.86556,0.006337,0.006337,0.006337
